,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1089,2020-08-28,595.61,601.31,592.09,601.06,538.08,436069,436069,5.45,0.91503,597.5175,"August 28, 20",0.0091503
1090,2020-08-27,592.94,598.9,591.99,594.98,532.64,428904,428904,2.04,0.34405,594.7025,"August 27, 20",0.0034405
1091,2020-08-26,591.46,595.7,587.9,592.1,530.06,540200,540200,0.64,0.10821,591.79,"August 26, 20",0.0010821
1092,2020-08-25,594.45,594.6,590.12,591.15,529.21,373300,373300,-3.3,-0.55513,592.58,"August 25, 20",-0.0055513
1093,2020-08-24,587.38,591.69,584.29,591.45,529.48,381634,381634,4.07,0.69291,588.7025,"August 24, 20",0.0069291
1094,2020-08-21,585.41,588.0,581.93,584.04,522.84,418462,418462,-1.37,-0.23402,584.845,"August 21, 20",-0.0023402
1095,2020-08-20,584.88,588.26,581.04,583.36,522.23,552425,552425,-1.52,-0.25988,584.385,"August 20, 20",-0.0025988
1096,2020-08-19,592.33,595.55,588.8,589.75,527.96,418702,418702,-2.58,-0.43557,591.6075,"August 19, 20",-0.0043557
1097,2020-08-18,591.09,594.76,588.8,589.21,527.47,456208,456208,-1.88,-0.31806,590.965,"August 18, 20",-0.0031806
1098,2020-08-17,590.93,595.54,587.89,592.03,530.0,411120,411120,1.1,0.18615,591.5975,"August 17, 20",0.0018615
1099,2020-08-14,588.61,592.46,584.06,588.46,526.8,316700,316700,-0.15,-0.02548377,588.3975,"August 14, 20",-0.0002548377
1100,2020-08-13,586.72,595.3,586.72,589.56,527.79,359708,359708,2.84,0.48405,589.575,"August 13, 20",0.0048405
1101,2020-08-12,592.14,605.72,584.4,590.24,528.39,612238,612238,-1.9,-0.32087,593.125,"August 12, 20",-0.0032087
1102,2020-08-11,585.3,596.51,583.33,586.64,525.17,576823,576823,1.34,0.22894,587.945,"August 11, 20",0.0022894
1103,2020-08-10,586.21,587.16,579.67,580.2,519.41,465800,465800,-6.01,-1.03,583.31,"August 10, 20",-0.0103
1104,2020-08-07,582.67,588.34,579.42,588.19,526.56,469919,469919,5.52,0.94736,584.655,"August 07, 20",0.0094736
1105,2020-08-06,579.96,583.35,575.07,582.23,521.22,455000,455000,2.27,0.39141,580.1525,"August 06, 20",0.0039141
1106,2020-08-05,576.71,584.92,573.23,582.15,521.15,465847,465847,5.44,0.94328,579.2525,"August 05, 20",0.0094328
1107,2020-08-04,573.65,575.69,567.93,571.04,511.21,513122,513122,-2.61,-0.45498,572.0775,"August 04, 20",-0.0045498
1108,2020-08-03,579.35,583.55,577.31,579.95,519.18,496428,496428,0.6,0.10356,580.04,"August 03, 20",0.0010356
1109,2020-07-31,572.33,575.32,566.68,575.01,514.76,375919,375919,2.68,0.46826,572.335,"July 31, 20",0.0046826
1110,2020-07-30,569.31,573.09,564.0,573.09,513.04,341204,341204,3.78,0.66396,569.8725,"July 30, 20",0.0066396
1111,2020-07-29,569.75,580.21,569.75,577.6,517.08,724859,724859,7.85,1.38,574.3275,"July 29, 20",0.0138
1112,2020-07-28,572.9,574.19,569.0,570.7,510.9,488900,488900,-2.2,-0.38401,571.6975,"July 28, 20",-0.0038401
1113,2020-07-27,568.73,578.28,565.35,575.33,515.05,618500,618500,6.6,1.16,571.9225,"July 27, 20",0.0116
1114,2020-07-24,578.0,578.0,567.66,570.62,510.83,421653,421653,-7.38,-1.28,573.57,"July 24, 20",-0.0128
1115,2020-07-23,580.31,585.05,575.22,578.15,517.57,453666,453666,-2.16,-0.37221,579.6825,"July 23, 20",-0.0037221
1116,2020-07-22,580.33,586.62,577.98,582.54,521.5,460500,460500,2.21,0.38082,581.8675,"July 22, 20",0.0038082
1117,2020-07-21,584.75,584.75,578.29,580.0,519.23,523283,523283,-4.75,-0.81231,581.9475,"July 21, 20",-0.0081231
1118,2020-07-20,580.22,585.0,577.13,579.6,518.87,706780,706780,-0.62,-0.10686,580.4875,"July 20, 20",-0.0010686
1119,2020-07-17,578.35,592.48,572.65,587.72,526.14,1151651,1151651,9.37,1.62,582.8,"July 17, 20",0.0162
1120,2020-07-16,565.3,569.76,563.12,566.96,507.55,729900,729900,1.66,0.29365,566.285,"July 16, 20",0.0029365
1121,2020-07-15,572.28,573.0,560.24,568.59,509.01,767633,767633,-3.69,-0.64479,568.5275,"July 15, 20",-0.0064479
1122,2020-07-14,552.76,562.51,551.46,561.33,502.51,567337,567337,8.57,1.55,557.015,"July 14, 20",0.0155
1123,2020-07-13,558.2,565.23,552.0,552.56,494.66,786413,786413,-5.64,-1.01,556.9975,"July 13, 20",-0.0101
1124,2020-07-10,550.53,555.92,546.78,554.08,496.02,489500,489500,3.55,0.64483,551.8275,"July 10, 20",0.0064483
1125,2020-07-09,554.46,557.47,544.26,549.44,491.87,462700,462700,-5.02,-0.90539,551.4075,"July 09, 20",-0.0090539
1126,2020-07-08,551.01,559.94,549.49,557.61,499.18,435753,435753,6.6,1.2,554.5125,"July 08, 20",0.012
1127,2020-07-07,553.37,560.47,549.16,549.23,491.68,557322,557322,-4.14,-0.74814,553.0575,"July 07, 20",-0.0074814
1128,2020-07-06,560.0,564.4,557.09,557.55,499.13,703115,703115,-2.45,-0.4375,559.76,"July 06, 20",-0.004375
1129,2020-07-02,555.48,560.56,548.62,551.77,493.95,742000,742000,-3.71,-0.66789,554.1075,"July 02, 20",-0.0066789
1130,2020-07-01,544.29,546.48,537.46,544.32,487.29,549023,549023,0.03,0.00551177,543.1375,"July 01, 20",5.51177e-05
1131,2020-06-30,533.97,545.98,533.97,544.09,487.08,1067100,1067100,10.12,1.9,539.5025,"June 30, 20",0.019
1132,2020-06-29,540.0,540.57,530.99,532.87,477.04,774400,774400,-7.13,-1.32,536.1075,"June 29, 20",-0.0132
1133,2020-06-26,542.11,544.42,528.63,534.85,478.81,1167800,1167800,-7.26,-1.34,537.5025,"June 26, 20",-0.0134
1134,2020-06-25,537.77,550.4,532.75,546.97,489.66,714151,714151,9.2,1.71,541.9725,"June 25, 20",0.0171
1135,2020-06-24,548.65,551.9,536.24,538.57,482.14,868874,868874,-10.08,-1.84,543.84,"June 24, 20",-0.0184
1136,2020-06-23,560.0,561.99,553.21,554.65,496.53,605923,605923,-5.35,-0.95536,557.4625,"June 23, 20",-0.0095536
1137,2020-06-22,550.77,558.57,548.59,553.21,495.24,478601,478601,2.44,0.44302,552.785,"June 22, 20",0.0044302
1138,2020-06-19,566.98,566.98,546.85,555.37,497.18,1875200,1875200,-11.61,-2.05,559.045,"June 19, 20",-0.0205
1139,2020-06-18,549.87,558.35,548.53,556.77,498.43,531800,531800,6.9,1.25,553.38,"June 18, 20",0.0125
1140,2020-06-17,554.96,561.5,552.8,555.23,497.05,704600,704600,0.27,0.04865216,556.1225,"June 17, 20",0.0004865216
1141,2020-06-16,558.9,558.9,539.35,550.4,492.73,826900,826900,-8.5,-1.52,551.8875,"June 16, 20",-0.0152
1142,2020-06-15,518.23,549.59,515.72,543.03,486.13,1242967,1242967,24.8,4.79,531.6425,"June 15, 20",0.0479
1143,2020-06-12,538.4,539.13,516.1,527.04,471.82,1065600,1065600,-11.36,-2.11,530.1675,"June 12, 20",-0.0211
1144,2020-06-11,544.07,548.67,521.14,525.21,470.18,1250854,1250854,-18.86,-3.47,534.7725,"June 11, 20",-0.0347
1145,2020-06-10,559.45,567.58,555.63,558.06,499.59,779700,779700,-1.39,-0.24846,560.18,"June 10, 20",-0.0024846
1146,2020-06-09,547.97,562.5,546.95,558.06,499.59,851931,851931,10.09,1.84,553.87,"June 09, 20",0.0184
1147,2020-06-08,557.22,561.92,550.55,557.33,498.93,1133450,1133450,0.11,0.01974086,556.755,"June 08, 20",0.0001974086
1148,2020-06-05,558.0,562.09,551.62,556.53,498.22,1438068,1438068,-1.47,-0.26344,557.06,"June 05, 20",-0.0026344
1149,2020-06-04,541.93,548.14,540.0,546.19,488.96,913455,913455,4.26,0.78608,544.065,"June 04, 20",0.0078608
1150,2020-06-03,550.0,551.94,542.81,547.71,487.07,1071558,1071558,-2.29,-0.41636,548.115,"June 03, 20",-0.0041636
1151,2020-06-02,544.4,547.77,538.43,541.34,481.41,847093,847093,-3.06,-0.56209,542.985,"June 02, 20",-0.0056209
1152,2020-06-01,528.0,543.11,526.73,538.23,478.64,668535,668535,10.23,1.94,534.0175,"June 01, 20",0.0194
1153,2020-05-29,530.69,534.5,520.55,528.64,470.11,1159516,1159516,-2.05,-0.38629,528.595,"May 29, 20",-0.0038629
1154,2020-05-28,548.48,550.0,535.01,536.84,477.4,1132946,1132946,-11.64,-2.12,542.5825,"May 28, 20",-0.0212
1155,2020-05-27,536.25,537.35,525.33,536.4,477.01,1182106,1182106,0.15,0.02797203,533.8325,"May 27, 20",0.0002797203
